source_code,source_name,rate_type,methodology
CBN,Central Bank of Nigeria,official,Volume-weighted NFEM average published as the official daily rate
ABOKIDOLLAR,Aboki Dollar,parallel,"Average of parallel market dealer quotes across Lagos, Abuja, Kano and Port Harcourt"
